pace,physic,power_stamina,passing,shooting,defending
0.5416666666666667,0.6507936507936507,0.8235294117647058,0.5441176470588236,0.23076923076923078,0.5733333333333335
0.49999999999999994,0.5555555555555556,0.6588235294117648,0.36764705882352944,0.3076923076923077,0.4133333333333334
0.7638888888888888,0.4444444444444445,0.5647058823529412,0.5441176470588236,0.5512820512820513,0.22666666666666668
0.625,0.6190476190476188,0.1411764705882353,0.5,0.5,0.5466666666666666
0.75,0.7142857142857142,0.588235294117647,0.5588235294117647,0.3205128205128205,0.6533333333333333
0.7083333333333333,0.23809523809523808,0.3411764705882353,0.27941176470588236,0.41025641025641024,0.16000000000000003
0.6111111111111112,0.603174603174603,0.5764705882352941,0.5,0.6153846153846154,0.22666666666666668
0.8194444444444444,0.603174603174603,0.7294117647058824,0.7500000000000001,0.8333333333333333,0.52
0.4861111111111111,0.5238095238095237,0.6235294117647059,0.6176470588235294,0.6025641025641025,0.32
0.5694444444444444,0.380952380952381,0.4941176470588235,0.10294117647058826,0.16666666666666669,0.52
0.5972222222222221,0.5079365079365079,0.6941176470588235,0.573529411764706,0.4871794871794872,0.5733333333333335
0.4583333333333333,0.49206349206349204,0.7647058823529411,0.4558823529411765,0.2692307692307692,0.6799999999999999
0.625,0.6190476190476188,0.18823529411764706,0.5,0.5,0.5466666666666666
0.9027777777777777,0.603174603174603,0.8352941176470587,0.6323529411764706,0.7307692307692307,0.34666666666666673
0.625,0.6190476190476188,0.1647058823529412,0.5,0.5,0.5466666666666666
0.75,0.5555555555555556,0.7647058823529411,0.6911764705882354,0.5897435897435898,0.3333333333333333
0.625,0.6349206349206349,0.7882352941176471,0.5441176470588236,0.5128205128205128,0.5866666666666667
0.4305555555555555,0.3333333333333333,0.2823529411764706,0.22058823529411764,0.46153846153846156,0.08000000000000002
0.8472222222222223,0.6984126984126984,0.776470588235294,0.6617647058823529,0.5384615384615384,0.72
0.6944444444444444,0.6190476190476188,0.6235294117647059,0.676470588235294,0.717948717948718,0.29333333333333333
